implementation,seq_len,d_k,matrix_size,mean_emissions,std_emissions,mean_time,std_time,num_runs
pytorch,200,200,40000,0.0,0.0,0.0006692409515380859,0.00020356594725407664,15
concurrent,200,200,40000,0.0,0.0,0.7578724225362142,0.14332413533652721,15
pytorch,400,400,160000,0.0,0.0,0.0014192899068196615,0.0003001268841424977,15
concurrent,400,400,160000,0.0,0.0,7.467089509963989,1.3704482664812287,15
pytorch,600,600,360000,0.0,0.0,0.004843362172444661,0.0013591300566288694,15
concurrent,600,600,360000,0.0,0.0,29.736275657018027,3.8967275064455786,15
pytorch,800,800,640000,0.0,0.0,0.02505938212076823,0.061772077755004526,15
concurrent,800,800,640000,0.0,0.0,60.01622692743937,10.99239813321628,15
pytorch,1000,1000,1000000,0.0,0.0,0.01637159983317057,0.0023552475488311125,15
concurrent,1000,1000,1000000,0.0,0.0,118.82215830485026,0.9281216066382403,15
