implementation,seq_len,d_k,matrix_size,emissions,time,timestamp
pytorch,50,50,2500,1.759213888601684e-06,9.645328760147095,2026-05-09T17:07:03.667438
custom,50,50,2500,5.555329334399064e-06,6.6803107261657715,2026-05-09T17:07:10.348392
pytorch,100,100,10000,1.5368250669638751e-06,3.1786012649536133,2026-05-09T17:07:13.528494
custom,100,100,10000,6.055909035106472e-06,7.338655233383179,2026-05-09T17:07:20.868538
pytorch,200,200,40000,1.5294575895617697e-06,3.2217352390289307,2026-05-09T17:07:24.094120
custom,200,200,40000,1.2224896368428518e-05,15.306004047393799,2026-05-09T17:07:39.403617
pytorch,300,300,90000,1.5494031713624447e-06,3.296541690826416,2026-05-09T17:07:42.708513
custom,300,300,90000,2.6270463646221782e-05,36.13838791847229,2026-05-09T17:08:18.855509
pytorch,500,500,250000,1.5518022285469376e-06,3.2140824794769287,2026-05-09T17:08:22.093677
custom,500,500,250000,9.578712986227223e-05,137.8198356628418,2026-05-09T17:10:39.935837
